               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,             0.02435,           0.0050317,           0.0016222,             0.97027,                   1,               0.995,               0.796,             0.01703,           0.0041122,          0.00084709,             0.00562,             0.00562,             0.00562
                 148,            0.023329,           0.0045409,           0.0017223,             0.97051,                   1,               0.995,              0.8955,            0.015784,           0.0040148,          0.00082272,             0.00559,             0.00559,             0.00559
                 149,            0.024046,           0.0046079,           0.0017324,             0.97042,                   1,               0.995,               0.796,            0.016052,           0.0038552,          0.00073608,             0.00556,             0.00556,             0.00556
                 150,            0.023082,           0.0046457,           0.0023679,             0.97031,                   1,               0.995,               0.796,            0.023219,           0.0037217,          0.00074066,             0.00553,             0.00553,             0.00553
                 151,            0.023925,           0.0044994,           0.0017577,             0.97094,                   1,               0.995,              0.8955,            0.014847,           0.0037584,          0.00076733,              0.0055,              0.0055,              0.0055
                 152,            0.023782,           0.0045323,           0.0019917,             0.97072,                   1,               0.995,              0.8955,            0.015604,           0.0037745,          0.00078003,             0.00547,             0.00547,             0.00547
                 153,            0.022951,           0.0049444,           0.0018404,             0.97077,                   1,               0.995,              0.8955,            0.016848,           0.0038579,          0.00082993,             0.00544,             0.00544,             0.00544
                 154,            0.023008,           0.0042628,           0.0016935,             0.97114,                   1,               0.995,              0.8955,            0.014174,            0.003685,          0.00080715,             0.00541,             0.00541,             0.00541
                 155,            0.025866,           0.0047475,           0.0018114,             0.97127,                   1,               0.995,              0.8955,            0.019294,           0.0036596,          0.00075909,             0.00538,             0.00538,             0.00538
                 156,            0.024545,           0.0043881,           0.0016521,             0.97088,                   1,               0.995,               0.796,            0.017148,           0.0037758,          0.00080452,             0.00535,             0.00535,             0.00535
                 157,            0.024964,            0.004231,           0.0016658,             0.97102,                   1,               0.995,              0.8955,            0.019578,           0.0035315,          0.00074638,             0.00532,             0.00532,             0.00532
                 158,            0.024022,           0.0049531,           0.0018565,             0.97214,                   1,               0.995,              0.8955,            0.019732,           0.0035895,           0.0007156,             0.00529,             0.00529,             0.00529
                 159,            0.023307,           0.0044212,            0.001706,             0.97207,                   1,               0.995,               0.796,            0.018243,           0.0037731,          0.00074661,             0.00526,             0.00526,             0.00526
                 160,            0.023903,            0.004274,            0.001623,             0.97205,                   1,               0.995,               0.796,            0.019645,           0.0037551,          0.00075405,             0.00523,             0.00523,             0.00523
